total_reward,avg_reward_per_step,reward_variance,reward_std,reward_iqr,reward_improvement,early_reward,late_reward,mean_reward_std_across_agents,reward_trend_slope,action_0_rate,action_1_rate,action_2_rate,action_3_rate,action_4_rate,action_entropy,action_change_rate,avg_action_consistency,concordant_action_rate,mean_obs_diff,std_obs_diff,mean_obs_mean,mean_obs_std,obs_diff_cv,obs_diff_trend,reward_zero_rate,reward_constant_rate,reward_frozen_rate,obs_zero_rate,identical_obs_rate,obs_extreme_rate,partial_zero_rate,mean_obs_neg_rate,label,failure_type
-87.14409896510203,-3.4857639586040814,0.08675713448337347,0.29454564074753076,0.32627987847304674,-0.783297034691858,-2.9969377400058326,-3.7802347746976905,4.440892098500626e-18,-0.034920260778614556,0.17333333333333334,0.21333333333333335,0.22666666666666666,0.24,0.14666666666666667,1.5938357442685747,0.8194444444444444,0.5466666666666666,0.4838709677419355,0.49533660686526004,0.1583486273232196,0.02656455375875036,0.9085061646365703,0.3196788301305869,0.0009249961481939634,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.2311111111111111,0.0,normal,none
-90.08054700194194,-3.6032218800776774,0.12589291929995336,0.3548139220774086,0.7171657805528948,-0.9014281096880374,-3.0903137360116895,-3.991741845699727,0.0,-0.04748658051936123,0.30666666666666664,0.16,0.24,0.18666666666666668,0.10666666666666667,1.5502311354778475,0.8333333333333334,0.5199999999999999,0.46153846153846156,0.43842908902557703,0.1759615555978356,-0.012218351976868389,0.9660614730939815,0.401345530214636,-3.9493190384244946e-05,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23333333333333334,0.0,normal,none
-100.94370964398992,-4.037748385759596,0.36701798576799827,0.605820093565737,1.1584444733716248,-1.29471151243561,-3.4339780259607755,-4.728689538396385,0.03771236166328257,-0.06534965808584123,0.24,0.14666666666666667,0.14666666666666667,0.24,0.22666666666666666,1.5845320317342204,0.7638888888888888,0.4799999999999999,0.543859649122807,0.6160861273749227,0.41597304383171074,-0.12166148139758864,0.6904969978056781,0.6751865115498397,0.006046818910544237,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23703703703703705,0.0,normal,none
-66.80167160936081,-2.6720668643744325,0.08145700281221194,0.28540673224752766,0.46932279382644904,0.16371552914282272,-2.5928809481412847,-2.429165418998462,3.1086244689504386e-17,0.0011126318723357139,0.24,0.17333333333333334,0.18666666666666668,0.22666666666666666,0.17333333333333334,1.5997973882019743,0.7916666666666666,0.5866666666666667,0.5614035087719298,0.4616418325954602,0.17150659738986312,0.09862833079580148,0.8044714824475093,0.3715144185571264,0.0015829508950671361,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.2325925925925926,0.0,normal,none
-50.87649818136053,-2.035059927254421,0.13805555367718594,0.37155827763244076,0.6446800824762307,-0.6202976855368425,-1.9480249022556564,-2.568322587792499,1.1102230246251566e-17,-0.035777947950927966,0.22666666666666666,0.14666666666666667,0.28,0.2,0.14666666666666667,1.5778341527413788,0.8333333333333334,0.5599999999999999,0.5862068965517241,0.46525003218132,0.17574403233291533,0.06095104444478811,0.7712637620215091,0.37774104201820297,0.0017267179783722923,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23555555555555555,0.0,normal,none
-60.797034279680304,-2.4318813711872123,0.6480331358892778,0.8050050533315165,1.5566903110607682,-1.3160692120147632,-2.20904427709274,-3.525113489107503,0.009428090415820642,-0.08063627134576538,0.2,0.21333333333333335,0.13333333333333333,0.24,0.21333333333333335,1.5922063175276095,0.7916666666666666,0.5333333333333333,0.45,0.5041289383197575,0.19969454577029752,0.012372877923038756,0.729973890003103,0.3961179971928488,-0.0012865554272663115,0.0,0.0,0.04,0.0,0.0,0.0,0.22814814814814816,0.0,normal,none
-68.83850320540184,-2.7535401282160734,0.653590004923462,0.8084491356439575,1.1895828795419792,-2.221013812429917,-1.8446979195302489,-4.065711731960166,0.028284271247461912,-0.10094539158145745,0.17333333333333334,0.2,0.14666666666666667,0.24,0.24,1.592217100883615,0.7222222222222222,0.5066666666666666,0.43548387096774194,0.5464043695878914,0.23395038134959184,-0.027301623107266138,0.5917088640476583,0.4281634517269293,0.0009966353236416797,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.23703703703703705,0.0,normal,none
-56.4525808677368,-2.258103234709472,0.11813397789972253,0.3437062377957702,0.5948229933873894,-0.5878995290046238,-1.9855987418944312,-2.573498270899055,0.009428090415820661,-0.03295845093186918,0.26666666666666666,0.17333333333333334,0.18666666666666668,0.14666666666666667,0.22666666666666666,1.5875245857655615,0.8472222222222222,0.49333333333333335,0.4909090909090909,0.49588847103894146,0.1756922350399209,0.043344193572928714,0.7170412975375741,0.3542978813714468,-0.0014372431158536758,0.0,0.0,0.04,0.0,0.013888888888888888,0.0,0.2288888888888889,0.0,normal,none
-73.79469277204575,-2.95178771088183,0.041077021494623445,0.20267466909957801,0.1570916204905295,0.057936669706916355,-3.0231625887191518,-2.9652259190122354,0.009428090415820664,0.0018057483347787343,0.22666666666666666,0.22666666666666666,0.21333333333333335,0.2,0.13333333333333333,1.5929910841950243,0.75,0.5333333333333333,0.5344827586206896,0.46749610754350474,0.176923273099899,-0.18882032467233428,0.5811715521039068,0.37844865415266804,-0.002355029449345819,0.0,0.0,0.04,0.0,0.0,0.0,0.22740740740740742,0.0,normal,none
-96.48190264235436,-3.8592761056941742,0.03582817343097441,0.18928331524720926,0.22609871731022713,-0.3148725335696838,-3.777353161358363,-4.092225694928047,8.881784197001253e-18,-0.02026021316375221,0.29333333333333333,0.22666666666666666,0.2,0.16,0.12,1.5657252490932605,0.7916666666666666,0.5466666666666666,0.41509433962264153,0.44606337189821255,0.19111029447471192,-0.13929453787367999,0.7485463095910015,0.42843754068622325,0.0019055937342255412,0.0,0.041666666666666664,0.08,0.0,0.013888888888888888,0.0,0.23703703703703705,0.0,normal,none
-90.09605488215568,-3.6038421952862274,0.6216628243355276,0.7884559748873284,0.5485396255982584,-1.39442298124533,-2.3697798471511664,-3.7642028283964963,0.009428090415820656,-0.0615304709188004,0.2,0.22666666666666666,0.16,0.21333333333333335,0.2,1.603002350393784,0.7638888888888888,0.5466666666666666,0.48333333333333334,0.7231971037532381,0.5213640705109999,0.021991396753324403,1.195686001158967,0.7209155942194962,-0.014012095777796111,0.0,0.0,0.04,0.0,0.0,0.0,0.22740740740740742,0.0,normal,observation_noise
-78.12530733221095,-3.125012293288438,0.011766875359904448,0.10847522924568746,0.1429673496904229,-0.13065874352504192,-3.0769990315630285,-3.2076577750880704,4.440892098500626e-18,-0.009816947322779629,0.21333333333333335,0.21333333333333335,0.2,0.21333333333333335,0.16,1.6038362271113284,0.8333333333333334,0.5333333333333333,0.5254237288135594,0.4689366396184431,0.18132679385537567,-0.10869454755003702,0.6256878412218148,0.38667653185777556,-0.001433486537972133,0.0,0.0,0.04,0.0,0.0,0.0,0.23851851851851852,0.0,normal,none
-68.71919614434708,-2.7487678457738833,0.18394242767169516,0.4288850984491011,0.5228967548230332,-0.8318588430775242,-2.039309357372615,-2.871168200450139,2.6645352591003756e-17,-0.044499970611701044,0.2,0.14666666666666667,0.30666666666666664,0.12,0.22666666666666666,1.5567732331490793,0.8611111111111112,0.5066666666666666,0.45,0.4832697394071871,0.15237405044111885,-0.0789682271175466,0.6119692057519392,0.31529814035683984,0.000638468897409298,0.0,0.0,0.04,0.0,0.0,0.0,0.2311111111111111,0.0,normal,none
